"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"36",-0.0191879065195996,-0.0189705724592784,-0.0501718137250134,-0.0525443022979688,-0.0224103726160914,-0.0255319161417039,-0.0281689325906591,-0.0342076669602234,-0.0140153573208248,-0.0152927449660213,-0.049033162453939,-0.0514292028814727,-0.0423522370663681,-0.0470304636754444
"37",-0.0247480926582696,-0.0264348370083142,-0.0496949395760674,-0.0521244304317369,-0.0378486870770829,-0.0423847535314784,-0.0500440211063589,-0.0538960428750781,-0.0256796625713357,-0.0273556393591734,-0.0343796585770932,-0.0367321508735379,-0.0292913473812559,-0.0297767464083816
"38",-0.0174633630492304,-0.0212394537533814,-0.020663695271083,-0.0236209956297643,-0.0237683806501039,-0.0277743769235699,-0.0138678559140264,-0.017824304421434,-0.0301600371620004,-0.0323901218352226,-0.0658599939656236,-0.0632375685978074,-0.0403764893725971,-0.0417625265271813
"39",-0.0408152511157822,-0.0429911241677504,-0.0339901834232861,-0.0385329324351108,-0.0262180452980047,-0.0288255807167471,-0.0383717771513707,-0.0408854008613142,-0.0131633277210458,-0.0162797515636931,-0.0504229504109269,-0.0501046808325328,-0.0286614772561149,-0.0307439606652863
"40",-0.0521624853149113,-0.0527806371383571,-0.0445610599280067,-0.0473437419577614,-0.0373639811860821,-0.0409361269642418,-0.0243583027093414,-0.0300634309921933,-0.0398073138967244,-0.0417347464773429,-0.0274659587887509,-0.0300137391304701,-0.0584378678948633,-0.0567487429348635
"41",-0.0686017132370908,-0.070509886705952,-0.0277712555028323,-0.0272640090600726,-0.0272066468414027,-0.0304720609710281,-0.0504935900825995,-0.0559439250256389,-0.00731469245932112,-0.00885174639473851,-0.0201898385873439,-0.0188990778990699,-0.0421810703683169,-0.0451868125718015
"42",-0.0283780590612973,-0.0304563753208227,-0.031239970373884,-0.0338974700186312,-0.0868716226748871,-0.0930228423099746,-0.0361942838829411,-0.0398824925239331,-0.0204913694984737,-0.0240362007549156,-0.0647528590241284,-0.0611092492445134,-0.0587485901270878,-0.0640409948578259
"43",-0.0267430677124142,-0.0282281314516001,-0.044686292575721,-0.0469580052349974,-0.0340426472541001,-0.0348624543594744,-0.0253923549616098,-0.0297168991782076,-0.0316033711249518,-0.0324815399847179,-0.0653391391757826,-0.0661242474197534,-0.0290958838550918,-0.0330349485704552
"44",-0.046314398560891,-0.0487355875283844,-0.0661364582661945,-0.0696630711650074,-0.059130177233689,-0.0615101528662854,-0.0335129976258963,-0.0378066030031141,-0.0135969802681758,-0.0133974499634234,-0.0407728806454628,-0.0415266328353054,-0.0257348465534757,-0.0280383942739089
"45",-0.0371246462103544,-0.0419740229838167,-0.0425549404864591,-0.0459119612621247,-0.0392726949507018,-0.0418236218245381,-0.0421880829548916,-0.0453987482680099,-0.035067736964706,-0.0387404268863883,-0.0341329748002498,-0.0385805834946475,-0.0573105646301278,-0.0609224823349025
"46",-0.0435296610474122,-0.0447270156287359,-0.0445552216039597,-0.0449736965908261,-0.0689564856580368,-0.0740216424773688,-0.0282086739235643,-0.031425473292071,-0.0208882477287723,-0.0216021573960338,-0.0644873433814389,-0.0666501072250041,-0.0527353400217296,-0.0561312800095862
"47",-0.0245386829087832,-0.0270193848332977,-0.0406907317217681,-0.0428457622394445,-0.0334433030094864,-0.034026900449575,-0.0309757865564874,-0.0348775959553987,-0.0355187051777086,-0.0385531426331112,-0.0585121101271382,-0.0637995552716834,-0.0412458866079298,-0.0454291756598352
"48",-0.0608225121042909,-0.062122902873803,-0.0410486944304427,-0.0433623992598341,-0.0491958457452825,-0.0511351276064679,-0.0491179365047773,-0.0535176000487083,-0.0126173103175832,-0.0130906708895209,-0.0389397285436933,-0.0380550906037317,-0.0308075806497521,-0.033178271035543
"49",-0.0358034113103928,-0.0386120912619186,-0.021352856398562,-0.0210525737673215,-0.0553456878109955,-0.0579099247986369,-0.0324542951900164,-0.0346832501263163,-0.0114335836494565,-0.0136913463551591,-0.0734543258751467,-0.0738659331383255,-0.0471582136733779,-0.0496679796639634
"50",-0.017917001551705,-0.0187686878814778,-0.0386379027560097,-0.0430354738151797,-0.0269138596453981,-0.0297839860667143,-0.0417209981938158,-0.0433872406540835,-0.0400340260049766,-0.0442663307858207,-0.0290849015539686,-0.0323740317339378,-0.0469394953719959,-0.050817792185476
"51",-0.010048778228093,-0.0104345463107612,-0.0725129318550036,-0.0791763698256531,-0.0503445509010912,-0.0530761449589172,-0.0231646448171558,-0.0295796986271271,-0.00440888936040523,-0.00603610526766396,-0.0700197210332704,-0.0708691340153761,-0.0398585379859039,-0.0439236260216518
"52",-0.0429851417709367,-0.0423755082430486,-0.0572163960400674,-0.0623969393863829,-0.0339044001164641,-0.0380745976015909,-0.0321513247439313,-0.0361682146559654,-0.017427277116955,-0.0194293046750117,-0.0518688801677081,-0.0524540705168074,-0.0370874328431958,-0.040171318751387
"53",-0.0265640469091934,-0.0281664653906273,-0.0216398389519901,-0.0234180610907785,-0.0578868900140937,-0.0669682472004588,-0.0190670094850902,-0.0229666829962867,-0.0215134212745626,-0.0233086651682245,-0.0862006878964616,-0.0828265766720758,-0.069675925395509,-0.0750521595801252
"54",-0.0158359047228434,-0.0168466969595569,-0.0564107677675509,-0.0620899455212833,-0.0501763588881958,-0.0537990072882183,-0.0398128937858363,-0.0472258855553479,-0.0341865356975403,-0.037979859250508,-0.0457132507866348,-0.0460064561843195,-0.0531066734220929,-0.0578863142511029
"55",-0.017173061532632,-0.0207697821444571,-0.0298792392671316,-0.0317233208457369,-0.0626972391601702,-0.066977120883561,-0.0229400017966425,-0.0278666101824288,-0.00954873976863939,-0.0113324740596988,-0.0321811555964293,-0.0342434621769101,-0.0680817510166617,-0.0691736876503142
"56",-0.0448765261650882,-0.0543990975257972,-0.0333123250046017,-0.03530553046928,-0.0335136123192948,-0.0363108490183441,-0.0406180001948954,-0.0401986647860597,-0.0216885445875595,-0.023230139914881,-0.0551155791316356,-0.0574282089737156,-0.0466237100994875,-0.049250658356004
"57",-0.020197014476747,-0.024432089009176,-0.0542180163414677,-0.0580352805538717,-0.0188711402800531,-0.0253589912309122,-0.0417738571361967,-0.0449714233292327,-0.0328131105951258,-0.0372609373681247,-0.0342529080434286,-0.0351192825447232,-0.0634564476628659,-0.0662710923648683
"58",-0.0203839620248649,-0.0240661854524413,-0.0277791886174869,-0.0298586186400794,-0.0601011863586849,-0.0637978622239423,-0.0509958964376496,-0.0547934635590807,-0.0459496625283952,-0.0477136006241591,-0.066232295948203,-0.067864798676983,-0.0371725243690608,-0.040579228013055
